from,to,relation
hpr,PU,Anf端hrer
rvp,PU,Mit-Anf端hrer
rvp,F251,Mitglied
bmw,PU,Mitglied
bmw,Q,Mitglied
me,Pu,Mitglied
me,KSK,Mitgr端nder
me,QD,Mitglied
me,Q,Mitglied
me,hpr,Angestellter
tt,hpr,Angestellter
cw,AFD,Mitglied
fr,CDU,Mitglied
bmw,AFD,Mitglied
mf,PU,Mitglied
mf,QD,Mitglied
am,PU,Mitglied
am,KSK,Mitglied
pw,F251,Mitglied
tpg,PU,Mitglied
cw,PU,Mitglied
fh,PU,Mitglied
mr,PU,Mitglied
rhl,PU,Mitglied
rhl,bmw,Angestellter
mvh,PU,Mitglied
rr,PU,Mitglied
tt,PU,Mitglied
rs,PU,Mitglied
rs,QD,Mitglied
tm,PU,Mit-Anf端hrer
hp,PU,Mitglied
hpr,vb,Partner
vb,hpr,Partner
aq,Q,Mitglied
ig,PU,Mitglied
mh,PU,Mitglied
ti,PU,Mitglied
ti,Q,Mitlglied
pw,rvp,Kollegen
rvp,pw,Kollegen
mvh,KSK,Mitglied
mf,mr,Ex-Partner
mr,mf,Ex-Partner